Year,week_number,Total_Flights
2017,44,1056
2017,45,1131
2017,46,1082
2017,47,1047
2017,48,1089
2017,49,1008
2017,50,1007
2017,51,1104
2017,52,1234
2018,1,1466
2018,2,1308
2018,3,1265
2018,4,1312
2018,5,1246
2018,6,1230
2018,7,1322
2018,8,1368
2018,9,1384
2018,10,1380
2018,11,1389
2018,12,1390
2018,13,1504
2018,14,1388
2018,15,1435
2018,16,1496
2018,17,1394
2018,18,1439
2018,19,1416
2018,20,1364
2018,21,1383
2018,22,1448
2018,23,1376
2018,24,1427
2018,25,1487
2018,26,1484
2018,27,1337
2018,28,1563
2018,29,1489
2018,30,1449
2018,31,1514
2018,32,1502
2018,33,1403
2018,34,1409
2018,35,1282
2018,36,1372
2018,37,1362
2018,38,1431
2018,39,1384
2018,40,1461
2018,41,1417
2018,42,1412
2018,43,1472
2018,44,1339
2018,45,1415
2018,46,1377
2018,47,1371
2018,48,1319
2018,49,1365
2018,50,1439
2018,51,1440
2018,52,1344
2019,1,1584
2019,2,1372
2019,3,1310
2019,4,1353
2019,5,1243
2019,6,1363
2019,7,1323
2019,8,1384
2019,9,1400
2019,10,1469
2019,11,1473
2019,12,1475
2019,13,1392
2019,14,1419
2019,15,1399
2019,16,1446
2019,17,1430
2019,18,1401
2019,19,1458
2019,20,1467
2019,21,1396
2019,22,1394
2019,23,1415
2019,24,1532
2019,25,1519
2019,26,1547
2019,27,1364
2019,28,1541
2019,29,1528
2019,30,1540
2019,31,1522
2019,32,1486
2019,33,1537
2019,34,1543
2019,35,1365
2019,36,1398
2019,37,1424
2019,38,1409
2019,39,1439
2019,40,1429
2019,41,1467
2019,42,1502
2019,43,1435
2019,44,1442
2019,45,1489
2019,46,1484
2019,47,1541
2019,48,1325
2019,49,1505
2019,50,1483
2019,51,1497
2019,52,1363
2020,1,1054
2020,2,1419
2020,3,1349
2020,4,1392
2020,5,1385
2020,6,1418
2020,7,1427
2020,8,1466
2020,9,1449
2020,10,1474
2020,11,1537
2020,12,1276
2020,13,825
2020,14,183
