Origin,start_lat,start_lon,Dest,end_lat,end_lon,Total
BNA,36.12450027,-86.67819977,LGA,40.77719879,-73.87259674,266
BNA,36.12450027,-86.67819977,LIT,34.72940063,-92.22429657,264
BNA,36.12450027,-86.67819977,MCO,28.42939949,-81.30899811,266
BNA,36.12450027,-86.67819977,MDW,41.785999,-87.752403,455
BNA,36.12450027,-86.67819977,MEM,35.04240036,-89.97669983,1006
BNA,36.12450027,-86.67819977,MKE,42.94720078,-87.89659882,269
BNA,36.12450027,-86.67819977,MOB,30.69120026,-88.24279785,265
BNA,36.12450027,-86.67819977,MSP,44.882,-93.221802,254
BNA,36.12450027,-86.67819977,MSY,29.99340057,-90.25800323,271
BNA,36.12450027,-86.67819977,ORD,41.9786,-87.9048,536
BNA,36.12450027,-86.67819977,PHL,39.87189865,-75.2410965,433
BNA,36.12450027,-86.67819977,PHX,33.43429947,-112.012001,85
BNA,36.12450027,-86.67819977,PIT,40.49150085,-80.23290253,360
BNA,36.12450027,-86.67819977,RDU,35.87760162,-78.78749847,91
BNA,36.12450027,-86.67819977,STL,38.748697,-90.370003,332
BNA,36.12450027,-86.67819977,TPA,27.97550011,-82.53320313,266
BNA,36.12450027,-86.67819977,TYS,35.81100082,-83.9940033,480
BOI,43.5644,-116.223,DEN,39.86169815,-104.6729965,532
BOI,43.5644,-116.223,ORD,41.9786,-87.9048,91
BOI,43.5644,-116.223,PSC,46.26470184,-119.1190033,86
BOI,43.5644,-116.223,SEA,47.449001,-122.308998,162
BOI,43.5644,-116.223,SFO,37.61899948,-122.375,348
BOI,43.5644,-116.223,SLC,40.78839874,-111.9779968,276
BOS,42.36429977,-71.00520325,ALB,42.74829865,-73.80169678,1
BOS,42.36429977,-71.00520325,ATL,33.6367,-84.428101,1117
BOS,42.36429977,-71.00520325,BDL,41.93889999,-72.68319702,276
BOS,42.36429977,-71.00520325,BGR,44.80739975,-68.82810211,352
BOS,42.36429977,-71.00520325,BNA,36.12450027,-86.67819977,263
BOS,42.36429977,-71.00520325,BUF,42.94049835,-78.73220062,239
BOS,42.36429977,-71.00520325,BWI,39.1754,-76.668297,1005
BOS,42.36429977,-71.00520325,CLE,41.4117012,-81.84980011,561
BOS,42.36429977,-71.00520325,CLT,35.2140007,-80.94309998,455
BOS,42.36429977,-71.00520325,CVG,39.04880142,-84.6678009,344
BOS,42.36429977,-71.00520325,DAY,39.90240097,-84.2193985,178
